"IP","Total users","Users logged in","Functions"
"123.19.28.213","14","tramtuyetvy310297, toanhhuong611812, taphuonglien200128, ngothytruc7714, vothiphuongchi805044, lehoanchau586094, maandi525478, toanvmp778, buithuyhang418579, bongbongbangbang1145, kieumongvi392861, nguyenngochuyen803662, lethibichhuong889995, sea_star_ap2huwa Copy","detail"
"14.250.251.227","11","toanhhuong611812, tramtuyetvy310297, taphuonglien200128, lehoanchau586094, toyenthanh_ap6, sea_star_ap2huwa, toanvmp778, ngothytruc7714, buithuyhang418579, vothiphuongchi805044, bongbongbangbang1145 Copy","detail"
"14.174.196.183","11","toanhhuong611812, tramtuyetvy310297, kieumongvi392861, toanvmp778, sea_star_ap2huwa, ngothytruc7714, buithuyhang418579, toyenthanh_ap6, nguyenngochuyen803662, lethibichhuong889995, bongbongbangbang1145 Copy","detail"
"27.67.17.7","8","diephiepvu343461, kieuminhhang587250, duongtrantu402026, nguyenquangtu197271, uatthugiang841311, doquocbao99164, nguyenmanhdung146433, chungphungyen682414 Copy","detail"
"14.229.114.253","8","diephiepvu343461, nguyenmanhdung146433, kieuminhhang587250, duongtrantu402026, nguyenquangtu197271, uatthugiang841311, doquocbao99164, chungphungyen682414 Copy","detail"
"116.101.83.4","8","kieuminhhang587250, nguyenquangtu197271, chungphungyen682414, nguyenmanhdung146433, uatthugiang841311, diephiepvu343461, duongtrantu402026, doquocbao99164 Copy","detail"
"117.7.168.19","7","trangtuyet9102, hienvy03, tranglinh1902, tranlehoajq, sinhluu60, vancuongav, synvx6ue02 Copy","detail"
"27.67.140.208","6","phunghieptp, uatthugiang841311, diephiepvu343461, doquocbao99164, duongtrantu402026, nguyenmanhdung146433 Copy","detail"
"27.67.182.171","6","a1nguyenthihang, nguyenmanhdung146433, diephiepvu343461, chungphungyen682414, doquocbao99164, duongtrantu402026 Copy","detail"
"171.255.64.247","6","uatthugiang841311, chungphungyen682414, nguyenmanhdung146433, duongtrantu402026, doquocbao99164, diephiepvu343461 Copy","detail"
"27.67.134.84","6","duongtrantu402026, nguyenquangtu197271, uatthugiang841311, doquocbao99164, diephiepvu343461, nguyenmanhdung146433 Copy","detail"
"113.189.212.47","6","chungphungyen682414, uatthugiang841311, doquocbao99164, diephiepvu343461, nguyenmanhdung146433, duongtrantu402026 Copy","detail"
"123.19.90.203","6","buithuyhang418579, vothiphuongchi805044, lehoanchau586094, kieumongvi392861, maandi525478, toanhhuong611812 Copy","detail"
"113.179.75.97","6","uatthugiang841311, chungphungyen682414, diephiepvu343461, nguyenmanhdung146433, doquocbao99164, duongtrantu402026 Copy","detail"
"27.67.133.163","6","doquocbao99164, diephiepvu343461, nguyenmanhdung146433, chungphungyen682414, uatthugiang841311, duongtrantu402026 Copy","detail"
"27.67.179.26","6","nguyenmanhdung146433, duongtrantu402026, doquocbao99164, chungphungyen682414, uatthugiang841311, diephiepvu343461 Copy","detail"
"27.67.47.56","6","nguyenmanhdung146433, duongtrantu402026, doquocbao99164, chungphungyen682414, uatthugiang841311, diephiepvu343461 Copy","detail"
